Author,Title,Sourcetitle,Volume,Issue,Pagestart,Pageend
"Lawrence, A.; Cooper, J.N.; Deans, K.J.; Minneci, P.C.; Wrona, S.K.; Chisolm, D.J.",Effects of the FDA Codeine Safety Investigation on Racial and Geographic Disparities in Opioid Prescribing after Pediatric Tonsillectomy and/or Adenoidectomy,Global Pediatric Health,8,,,
"Hollien, H.; Hollien, P.A.; de Jong, G.",Effects of three parameters on speaking fundamental frequency,Journal of the Acoustical Society of America,102,5 I,2984,2992
"Zhang, W.; Li, Y.; Guo, P.; Guo, X.","Effects of urban green space (UGS) quality on physical activity (PA) and health, controlling for environmental factors","Journal of Infrastructure, Policy and Development",8,4,,
"Bikomeye, J.C.; Tarima, S.; Zhou, Y.; Kwarteng, J.L.; Beyer, A.M.; Yen, T.W.F.; Winn, A.N.; Beyer, K.M.M.","Effects of urban greenspace on time to major adverse cardiovascular events among women with breast cancer in the US: Insights from the Greater Milwaukee, WI Area",Health and Place,93,,,
"Palisi, B.J.; Ransford, H.E.","Effects of urbanism, race, and class on happiness and physical health",Sociological Spectrum,7,3,271,295
"Ragins, A.I.; Shan, J.; Thom, D.H.; Subak, L.L.; Brown, J.S.; van den Eeden, S.K.","Effects of urinary incontinence, comorbidity and race on quality of life outcomes in women",Journal of Urology,179,2,651,655
"Schmidt, T.M.; Liu, L.; Abraham, I.E.; Uy, A.B.; Dudek, A.Z.",Efficacy and safety of sorafenib in a racially diverse patient population with advanced hepatocellular carcinoma,Anticancer Research,38,7,4027,4034
"Covelli, M.M.",Efficacy of a school-based cardiac health promotion intervention program for African-American adolescents,Applied Nursing Research,21,4,173,180
"Malay, D.S.; Yi, S.; Borowsky, P.; Downey, M.S.; Mlodzienski, A.J.","Efficacy of Debridement Alone Versus Debridement Combined with Topical Antifungal Nail Lacquer for the Treatment of Pedal Onychomycosis: A Randomized, Controlled Trial",Journal of Foot and Ankle Surgery,48,3,294,308
"Eck, C.; Biola, H.; Hayes, T.; Bulgin, D.; Whitney, C.; Raman, R.; Bakovic, M.; Caesar, A.; Becerra-Soberon, R.; Chaplain, J.; Granger, B.B.",Efficacy of Hypertension Self-Management Classes Among Patients at a Federally Qualified Health Center,Preventing Chronic Disease,18,,1,7
"Petrovskaya, A.; Thrun, S.",Efficient Techniques for Dynamic Vehicle Detection,Springer Tracts in Advanced Robotics,54,,79,91
"Dawley, E.; Figliomeni, J.M.; McCulloh, R.J.; Kerns, E.K.; Ounpraseuth, S.; Chang, D.; Foster, K.L.; Hockett, C.W.; Martini, K.; Delaney, M.D.; Munoz-Osorio, A.; Nelson, M.B.; Queen, K.; Blatt, D.B.; Roberts, J.R.",Efforts to Enhance Recruitment and Engagement of Caregivers from Medically Underserved Communities in a Randomized Controlled Trial of a Vaccine Promotion App,Journal of Clinical and Translational Science,,,,
"Maloney, M.D.; Haddas, R.; Schwarz, E.M.; Nelms, S.; Rizzone, K.","Efforts to Improve Diversity, Equality, and Inclusion in Sports Medicine via Community Engagement Initiatives Within American Cities Divided by Racial, Social, and Economic Factors",Clinics in Sports Medicine,43,2,271,277
"Silka, L.; Toof, R.; Grigg-Saito, D.",Eight Americas: Differences in Asian communities are important [7],PLOS Medicine,4,1,193,194
"Murray, C.J.L.; Kulkarni, S.C.; Michaud, C.; Tomijima, N.; Bulzacchelli, M.T.; Iandiorio, T.J.; Ezzati, M.","Eight Americas: Investigating mortality disparities across races, counties, and race-counties in the United States",PLOS Medicine,3,9,1513,1524
"Hernandez, Ashley C.",'EL BARRIO NO SE VENDE/THE 'HOOD IS NOT FOR SALE': Anti-gentrification Activism and 'Hood Solidarity from a Los Angeles Barrio,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,,,,
"Chávez, A.E.",El disco es cultura: Sonic artifacts and Latinx Chicago,American Anthropologist,126,2,282,294
"Osuna, S.","El mundo es un barrio, homie: The Psycho Realm’s Visions of Fortress L.A.",Palgrave Studies in the History of Subcultures and Popular Music,Part F116,,117,134
"Kaye, L.W.; Reisman, S.I.",Elder consumer preferences of marketing strategies in the human services,Health Marketing Quarterly,10,4-Mar,195,210
"Dong, X.; Simon, M.; Mendes de Leon, C.F.; Fulmer, T.; Beck, T.; Hebert, L.; Dyer, C.; Paveza, G.; Evans, D.A.",Elder self-neglect and abuse and mortality risk in a community-dwelling population,JAMA,302,5,517,526
"Clark, W.A.V.; Davies, S.",Elderly Mobility and Mobility Outcomes: Households in the Later Stages of the Life Course,Research on Aging,12,4,430,462
"STEKLER, PJ","ELECTING BLACKS TO OFFICE IN THE SOUTH - BLACK CANDIDATES, BLOC VOTING AND RACIAL UNITY 20 YEARS AFTER THE VOTING-RIGHTS ACT",URBAN LAWYER,17,3,473,487
"Bullock, CS; Dunn, RE",Election roll-off - A test of three explanations,URBAN AFFAIRS REVIEW,32,1,71,86
"Blackburn, C.W.; Du, J.Y.; Marcus, R.E.","Elective THA for Indications Other Than Osteoarthritis Is Associated With Increased Cost and Resource Use: A Medicare Database Study of 135,194 Claims",Clinical Orthopaedics and Related Research,482,7,1159,1170
"McNitt, Andrew",Electoral Competition for Mayoral Office.,Conference Papers - Southern Political Science Association,,,1,
"Scammon, R.M.",Electoral Participation,Annals of the American Academy of Political and Social Science,371,1,59,71
"Scipes, Kim",Electoral politics is not enough: Racial and ethnic minorities and urban politics,JOURNAL OF URBAN AFFAIRS,30,3,353,354
"Rich, Wilbur C.",Electoral Politics Is Not Enough: Racial and Ethnic Minorities and Urban Politics.,Urban Affairs Review,44,6,907,908
"Sheikhattari, P.; Barsha, R.A.A.; Egboluche, C.; Assari, S.",Electronic and Conventional Cigarette Use and Academic Achievement Among Predominantly Low-Income Black High School Students,Children,12,9,,
"Subica, A.M.; Guerrero, E.; Wu, L.-T.; Aitaoto, N.; Iwamoto, D.; Moss, H.B.",Electronic Cigarette Use and Associated Risk Factors in U.S.-Dwelling Pacific Islander Young Adults,Substance Use and Misuse,55,10,1702,1708
"Jain, R.K.; Weiner, M.; Polley, E.; Iwamaye, A.; Huang, E.; Vokes, T.",Electronic Health Records (EHRs) Can Identify Patients at High Risk of Fracture but Require Substantial Race Adjustments to Currently Available Fracture Risk Calculators,Journal of General Internal Medicine,38,16,3451,3459
"Schmaier, A.H.; Maurer, H.M.; Johnston, C.L.; Scott, R.B.; Stewart, L.M.",Electronically determined red cell indices in a predominantly black urban population of children 4 to 8 years of age,Journal of Pediatrics,84,4,559,561
"Dickinson, G.B.; Holifield, M.L.; Holifield, G.; Creer, D.G.",Elementary magnet school students' interracial interaction choices,Journal of Educational Research,93,6,391,394
"Maddamsetti, J.",Elementary pre-service teachers’ practice of racial literacy: analysis of small stories in online critical inquiry communities,Teaching Education,33,1,81,101
"Adams, E.K.; Johnson, V.C.; Hogue, C.J.; Franco Montoya, D.; Joski, P.J.; Hawley, J.N.",Elementary School–Based Health Centers and Access to Preventive and Asthma-Related Care Among Publicly Insured Children With Asthma in Georgia,Public Health Reports,137,5,901,911
"Pandey, Toshna; Sutherland, Kevin S.; Cormier, Dwayne R.; Gibson, Donna M.",Elementary Teachers' Attributions for Racially Minoritized Students' Classroom Behaviors,URBAN EDUCATION,60,7,2051,2087
"Tuhrim, S.; Rand, J.H.; Wu, X.-X.; Weinberger, J.; Horowitz, D.R.; Goldman, M.E.; Godbold, J.H.",Elevated anticardiolipin antibody titer is a stroke risk factor in a multiethnic population independent of isotype or degree of positivity,Stroke,30,8,1561,1565
"Findley, S.; Lawler, K.; Bindra, M.; Maggio, L.; Penachio, M.M.; Maylahn, C.",Elevated asthma and indoor environmental exposures among Puerto Rican children of East Harlem,Journal of Asthma,40,5,557,569
"Kemp, F.W.; Neti, P.V.S.V.; Howell, R.W.; Wenger, P.; Louria, D.B.; Bogden, J.D.",Elevated blood lead concentrations and vitamin D deficiency in winter and summer in young urban children,Environmental Health Perspectives,115,4,630,635
"McLaine, P.; Navas-Acién, A.; Lee, R.; Simon, P.; Diener-West, M.; Agnew, J.",Elevated blood lead levels and reading readiness at the start of kindergarten,Pediatrics,131,6,1081,1089
"Liang, H.; Mojtahedi, M.C.; Chen, D.; Braunschweig, C.L.",Elevated C-Reactive Protein Associated With Decreased High-Density Lipoprotein Cholesterol in Men With Spinal Cord Injury,Archives of Physical Medicine and Rehabilitation,89,1,36,41
"Blatt, S.D.; Weinberger, H.L.; Neefe, H.P.",Elevated erythrocyte protoporphyrin as an indicator of iron deficiency in an urban population,Ambulatory Child Health,2,4,303,310
"Zafman, K.; Bender, W.; Durnwald, C.",Elevated HbA1c on universal prenatal screening is associated with decreased postpartum weight retention,Journal of Maternal-Fetal and Neonatal Medicine,35,26,10653,10659
"DeVylder, J.E.; Frey, J.J.; Cogburn, C.D.; Wilcox, H.C.; Sharpe, T.L.; Oh, H.Y.; Nam, B.; Link, B.G.",Elevated Prevalence of Suicide Attempts among Victims of Police Violence in the USA,Journal of Urban Health,94,5,629,636
"Pigeon, W.R.; Heffner, K.; Duberstein, P.; Fiscella, K.; Moynihan, J.; Chapman, B.P.",Elevated sleep disturbance among blacks in an urban family medicine practice,Journal of the American Board of Family Medicine,24,2,161,168
"Diffrient, D.S.",Elevator to the shallows: spatial verticality and the questionable depth of social relations in Mad Men,New Review of Film and Television Studies,16,3,324,352
"Cortés, D.E.; Progovac, A.M.; Lu, F.; Lee, E.; Tran, N.M.; Moyer, M.A.; Odayar, V.; Rodgers, C.R.R.; Adams, L.; Chambers, V.; Delman, J.; Delman, D.; de Castro, S.; Sanchez-Roman, M.J.; Kaushal, N.A.; Creedon, T.B.; Sonik, R.A.; Rodriguez Quinerly, C.; Nakash-Eisikovits, O.; Moradi, A.; Abolaban, H.; Flomenhoft, T.; Nabisere-Arinaitwe, R.; Mann, Z.; Shu-Yeu Hou, S.; Shaikh, F.N.; Flores, M.W.; Jordan, D.; Carson, N.; Carle, A.C.; Cook, B.L.é.; McCormick, D.",Eliciting patient past experiences of healthcare discrimination as a potential pathway to reduce health disparities: A qualitative study of primary care staff,Health Services Research,60,2,,
"Jenkins, E.",Elite colored women: the material culture of photography & Victorian era womanhood in reconstruction era Memphis,Slavery and Abolition,41,1,29,63
"Davila, O.",Elite schooling in the city: the model minority myth and urban education,Discourse,45,2,225,240
"Ferguson, J.E.; Hagel-Campbell, E.; Bangerter, A.; Cross, L.J.S.; Allen, K.D.; Behrens, K.; Branson, M.; Calvert, C.; Friedman, J.K.; Hennessy, S.; Meis, L.A.; Taylor, B.C.; Burgess, D.J.",Email recruitment for chronic pain clinical trials: results from the LAMP trial,Trials,25,1,,
"Jacobs, A.J.","Embedded contrasts in race, municipal fragmentation, and planning: Divergent outcomes in the detroit and Greater Toronto-Hamilton regions 1990-2001",Journal of Urban Affairs,31,2,147,172
"Villanueva-Martinez, P.","Embodying sound: body, territory, and community in the music of Mare Advertencia and Cynthia Montaño",Latin American and Caribbean Ethnic Studies,20,1,68,86
"Muir, A.B.; Bailey, D.D.; Mehta, P.","Embracing Diversity, Equity, Inclusion, and Accessibility in Eosinophilic Gastrointestinal Diseases",Immunology and Allergy Clinics of North America,44,2,293,298
"May, M.L.; Bowman, G.J.; Ramos, K.S.; Rincones, L.; Rebollar, M.G.; Rosa, M.L.; Saldana, J.; Sanchez, A.P.; Serna, T.; Viega, N.; Villegas, G.S.; Zamorano, M.G.; Ramos, I.N.","Embracing the local: Enriching scientific research, education, and outreach on the Texas-Mexico border through a participatory action research partnership",Environmental Health Perspectives,111,13,1571,1576
"King, M.D.; Humphrey, B.J.; Wang, Y.F.; Kourbatova, E.V.; Ray, S.M.; Blumberg, H.M.",Emergence of community-acquired methicillin-resistant Staphylococcus aureus USA 300 clone as the predominant cause of skin and soft-tissue infections,Annals of Internal Medicine,144,5,309,317
"Gudmundsen, G.R.; Rhew, I.C.; McCauley, E.; Kim, J.; Vander Stoep, A.",Emergence of Depressive Symptoms from Kindergarten to Sixth Grade,Journal of Clinical Child and Adolescent Psychology,48,3,501,515
"Larson, M.J.; Saitz, R.; Horton, N.J.; Lloyd-Travaglini, C.; Samet, J.H.",Emergency department and hospital utilization among alcohol and drug-dependent detoxification patients without primary medical care,American Journal of Drug and Alcohol Abuse,32,3,435,452
"Chary, A.N.; Hernandez, N.; Rivera, A.P.; Santangelo, I.; Ritchie, C.; Ouchi, K.; Liu, S.W.; Naik, A.D.; Kennedy, M.",Emergency department communication with diverse caregivers and persons living with dementia: A qualitative study,Journal of the American Geriatrics Society,72,6,1687,1696
"Behr, J.G.; Diaz, R.",Emergency Department Frequent Utilization for Non-Emergent Presentments: Results from a Regional Urban Trauma Center Study,PLOS ONE,11,1,,
"McConnell, C.T.; Miller, R.L.; Mueller, C.F.; Moore, S.K.; Anderson, J.I.; Moeschberger, M.L.; Noguiera, T.E.",Emergency department of use of radiology services at a large urban teaching hospital,Academic Radiology,1,1,33,39
"Mazer-Amirshahi, M.; Sun, C.; Koroshetz, L.; Soares, R.W.; Kumar, A.; Calello, D.P.; Perrone, J.; Nelson, L.S.",Emergency department patients' perceptions of the efficacy and safety of opioid analgesics,Journal of Opioid Management,16,4,239,246
"Ranney, M.L.; Choo, E.K.; Wang, Y.; Baum, A.; Clark, M.A.; Mello, M.J.",Emergency department patients' preferences for technology-based behavioral interventions,Annals of Emergency Medicine,60,2,218,e48
"Horwitz, D.A.; Schwarz, E.S.; Scott, M.G.; Lewis, L.M.",Emergency department patients with diabetes have better glycemic control when they have identifiable primary care providers,Academic Emergency Medicine,19,6,650,655
"Scangas, G.A.; Ishman, S.L.; Bergmark, R.W.; Cunningham, M.J.; Sedaghat, A.R.",Emergency department presentation for uncomplicated acute rhinosinusitis is associated with poor access to healthcare,Laryngoscope,125,10,2253,2258
"Ernst, A.A.; Romolo, R.; Nick, T.",Emergency department screening for syphilis in pregnant women without prenatal care,Annals of Emergency Medicine,22,5,781,785
"McCarthy, D.M.; Ellison, E.P.; Venkatesh, A.K.; Engel, K.G.; Cameron, K.A.; Makoul, G.; Adams, J.G.",Emergency department team communication with the patient: The patient's perspective,Journal of Emergency Medicine,45,2,262,270
"Bazargan, M.; Smith, J.; Cobb, S.; Barkley, L.; Wisseh, C.; Ngula, E.; Thomas, R.J.; Assari, S.",Emergency department utilization among underserved African American older adults in South Los Angeles,International Journal of Environmental Research and Public Health,16,7,,
"Zook, H.G.; Kharbanda, A.B.; Puumala, S.E.; Burgess, K.A.; Pickner, W.; Payne, N.R.",Emergency department utilization by native American children,Pediatric Emergency Care,34,11,802,809
"Rutkowski, A.A.; Khan, F.; Chhabra, N.; Brincat, C.; O'Shea, M.",Emergency department visits for undiagnosed pelvic organ prolapse,American Journal of Emergency Medicine,90,,164,168
"Prendergast, H.; Kitsiou, S.; Petzel-Gimbar, R.; Freels, S.; Sanders, A.; Daviglus, M.; Kotini-Shah, P.; Carter, B.; Del Rios, M.; Heinert, S.; Khosla, S.",Emergency Department-Based Education and mHealth Empowerment Intervention for Hypertension: The TOUCHED Randomized Clinical Trial,JAMA Cardiology,,,,
"Bui, T.; Melnick, E.M.; Tong, D.; Acciai, F.; Yedidia, M.J.; Ohri-Vachaspati, P.",Emergency Free School Meal Distribution During the COVID-19 Pandemic in High-Poverty Urban Settings,Journal of the Academy of Nutrition and Dietetics,124,5,636,643
"Rowh, A.; Zwald, M.; Fowler, K.; Jack, S.; Siordia, C.; Walters, J.","Emergency Medical Services Encounters for Firearm Injuries - 858 Counties, United States, January 2019-September 2024",Morbidity and Mortality Weekly Report,73,24,551,557
"Wofford, J.L.; Moran, W.P.; Heuser, M.D.; Schwartz, E.; Vélez, R.; Mittelmark, M.B.",Emergency medical transport of the elderly. A population-based study,American Journal of Emergency Medicine,13,3,297,300
"Ibrahim, A.M.; Regenbogen, S.E.; Thumma, J.R.; Dimick, J.B.",Emergency Surgery for Medicare Beneficiaries Admitted to Critical Access Hospitals,Annals of Surgery,267,3,473,477
"Gonzalez, Erualdo R.; Irazabal, Clara",Emerging issues in planning: ethno-racial intersections,LOCAL ENVIRONMENT,20,6,600,610
"Mufunda, J.; Chatora, R.; Ndambakuwa, Y.; Nyarang’O, P.; Kosia, A.; Chifamba, J.; Filipe, A.; Usman, A.; Sparks, V.H.",Emerging non-communicable disease epidemic in Africa: Preventive measures from the WHO Regional Office for Africa,Ethnicity and Disease,16,2,521,526
"Fernandez, I.D.; Groth, S.W.; Reschke, J.E.; Graham, M.L.; Strawderman, M.; Olson, C.M.",eMoms: Electronically-mediated weight interventions for pregnant and postpartum women. Study design and baseline characteristics,Contemporary Clinical Trials,43,,63,74
